k;lu;P0;I;gamma;sgamma;r;Psat;Lsat;loptim;lres;loptim/lres;Psat/Pall;Lsat/lu;f;rho;P0/Pall
3.89E+00;3.69E+00;1.28E+07;8.00E+01;2.65E+03;0.00000E+00;1.00000E-04;1.43E+08;1.85E+01;2.26125E-08;2.25777E-08;1.54211E-03;1.32E-03;5.01E+00;7.36E-01;9.65E-04;1.18E-04
3.89E+00;3.69E+00;1.28E+04;8.00E+01;1.00E+03;0.00000E+00;1.00000E-04;9.80E+07;1.67E+01;1.58528E-07;1.58044E-07;3.06483E-03;2.40E-03;4.52E+00;7.36E-01;2.55E-03;3.13E-07
3.98E+00;3.69E+00;1.50E+05;5.00E+02;2.83E+03;0.00000E+00;1.00000E-04;1.13E+09;2.03E+01;2.06138E-08;2.05722E-08;2.02364E-03;1.56E-03;5.49E+00;7.35E-01;1.69E-03;2.07E-07
3.98E+00;3.69E+00;1.50E+06;5.00E+02;3.16E+03;0.00000E+00;1.00000E-04;1.10E+09;1.83E+01;1.64876E-08;1.64577E-08;1.81406E-03;1.36E-03;4.96E+00;7.35E-01;1.51E-03;1.85E-06
3.98E+00;3.69E+00;1.50E+05;5.00E+02;2.65E+03;0.00000E+00;1.00000E-04;1.18E+09;1.94E+01;2.35620E-08;2.35111E-08;2.16400E-03;1.75E-03;5.25E+00;7.35E-01;1.80E-03;2.21E-07
3.42E+00;3.31E+00;2.35E+06;8.00E+02;3.16E+03;0.00000E+00;1.00000E-04;1.60E+09;1.64E+01;1.13541E-08;1.13338E-08;1.79515E-03;1.24E-03;4.96E+00;7.46E-01;1.50E-03;1.82E-06
1.91E+00;1.76E+00;8.77E+06;7.00E+02;1.00E+03;0.00000E+00;1.00000E-04;6.85E+08;4.65E+00;2.49154E-08;2.48516E-08;2.56563E-03;1.92E-03;2.64E+00;8.15E-01;2.14E-03;2.45E-05
1.91E+00;1.76E+00;8.77E+04;7.00E+02;5.48E+02;0.00000E+00;1.00000E-04;7.04E+08;4.15E+00;8.32269E-08;8.28387E-08;4.68663E-03;3.59E-03;2.36E+00;8.15E-01;3.90E-03;4.48E-07
1.44E+00;1.76E+00;4.03E+06;8.00E+01;3.00E+02;0.00000E+00;1.00000E-04;4.75E+07;3.18E+00;2.00099E-07;1.99154E-07;4.74619E-03;3.87E-03;1.81E+00;8.58E-01;2.97E-03;3.28E-04
1.44E+00;1.76E+00;4.03E+05;8.00E+01;9.49E+02;0.00000E+00;1.00000E-04;3.71E+07;1.09E+01;1.99378E-08;1.99154E-08;1.12525E-03;9.57E-04;6.20E+00;8.58E-01;9.38E-04;1.04E-05
1.44E+00;1.76E+00;4.03E+04;8.00E+01;2.00E+02;0.00000E+00;1.00000E-04;3.30E+07;3.63E+00;4.50488E-07;4.48096E-07;5.33814E-03;4.04E-03;2.06E+00;8.58E-01;4.45E-03;4.93E-06
3.53E+00;3.98E+00;1.06E+04;7.00E+01;2.83E+03;0.00000E+00;1.00000E-04;8.70E+07;4.55E+01;1.80042E-08;1.79857E-08;1.02816E-03;8.60E-04;1.14E+01;7.44E-01;8.57E-04;1.04E-07
3.24E+00;3.98E+00;1.19E+06;8.00E+01;2.65E+03;0.00000E+00;1.00000E-04;1.03E+08;2.76E+01;1.77839E-08;1.77645E-08;1.09413E-03;9.52E-04;6.93E+00;7.51E-01;9.10E-04;1.10E-05
3.24E+00;3.98E+00;1.19E+05;8.00E+01;1.00E+03;0.00000E+00;1.00000E-04;9.30E+07;1.58E+01;1.24711E-07;1.24351E-07;2.89406E-03;2.27E-03;3.96E+00;7.51E-01;2.41E-03;2.92E-06
2.88E+00;3.98E+00;1.10E+06;8.00E+01;8.37E+02;0.00000E+00;1.00000E-04;8.40E+07;1.13E+01;1.46800E-07;1.46328E-07;3.22870E-03;2.46E-03;2.83E+00;7.62E-01;2.69E-03;3.22E-05
2.88E+00;3.98E+00;1.10E+06;8.00E+01;2.45E+03;0.00000E+00;1.00000E-04;9.50E+07;2.72E+01;1.70904E-08;1.70715E-08;1.10458E-03;9.49E-04;6.82E+00;7.62E-01;9.18E-04;1.10E-05
